com.samsung.shealth.sleep,6306007,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62710150,2024-08-05 20:40:00.000,,62710150,2024-08-06 07:27:32.853,2024-08-06 07:27:32.853,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-08-06 05:00:00.000,b653a8cf-d89d-45b0-8acd-57fec4c269eb,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62710150,2024-08-08 21:40:00.000,,62710150,2024-08-09 08:24:06.260,2024-08-09 08:24:06.260,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-08-09 05:00:00.000,166b1c3d-d289-4d4f-8136-b71bb8dd589e,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62720090,2024-10-22 22:50:00.000,,62720090,2024-10-23 07:26:33.958,2024-10-23 07:26:33.958,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-10-23 05:10:00.000,5443fd28-20b2-47af-a3cb-f8d51ea20754,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62720090,2024-10-23 21:20:00.000,,62720090,2024-10-24 07:29:16.009,2024-10-24 07:29:16.009,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-10-24 05:00:00.000,d4fac4f6-a598-43d8-ae07-54f2c8aa6e86,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62810050,2024-10-24 21:20:00.000,,62810050,2024-10-25 07:23:37.474,2024-10-25 07:23:37.474,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-10-25 04:50:00.000,0e88673b-58ee-4f8e-983d-50fe6c37c489,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,82800000,0,,,,25200000,,,0.0,,,,,62810050,2024-10-28 00:30:00.000,,62810050,2024-10-28 07:38:17.797,2024-10-28 07:38:17.797,,,UTC+0300,sL+KSz6/E2,,com.sec.android.app.shealth,2024-10-28 06:00:00.000,f00cdc06-e72e-4ac3-ab63-d28f2174ede6,
,,82.0,,6,23,6,1,7,220,164,0,0,,,,,0,960000,,1440000,56,4dfcae84-4a6f-413a-9f22-c6a59be075b2,,-1,1620000,9,,,,33.0,,7.0,,,,,,,,,2,134,96.0,60,220,2,,62720071,2024-11-01 22:01:00.000,,62810050,2024-11-02 06:18:52.689,2024-11-02 02:05:42.626,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-02 01:41:00.000,fa45f3a7-c636-4724-9fe2-c0e3ac7124ea,
,,53.0,,34,34,16,0,19,231,148,0,11,,,,,0,960000,,1440000,32,4dfcae84-4a6f-413a-9f22-c6a59be075b2,,-1,840000,9,,,,41.0,,24.0,,,,,,,,,1,146,91.0,49,231,2,,62720071,2024-11-02 02:03:00.000,,62810050,2024-11-02 06:18:52.697,2024-11-02 06:18:46.296,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-02 05:54:00.000,0f83546a-94a6-4cb6-8fe9-0ff843616605,
,,97.0,,28,105,1,1,48,531,95,0,37,,,,,0,1020000,,0,159,,,-1,960000,9,,,,97.0,,18.0,,,,,,,,,5,219,90.0,92,531,2,,62720071,2024-11-02 22:21:00.000,,62810050,2024-11-03 07:12:25.328,2024-11-03 07:12:14.535,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-03 07:12:00.000,d5a2a067-71c3-47c9-9bc3-c67ed9b5b176,
,,89.0,,49,49,8,1,8,293,288,0,0,,,,,0,1080000,,1620000,77,69d073e3-8e4c-485e-b865-862be39ad027,,-1,4020000,9,,,,68.0,,6.0,,,,,,,,,3,159,97.0,74,293,2,,62720071,2024-11-03 22:23:00.000,,62810050,2024-11-04 04:58:06.737,2024-11-04 03:43:55.981,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-04 03:16:00.000,5e359ae2-e000-4356-8f4c-8db67ce51ef5,
